target,model,sources,outgroups,n_snp,chi2,dof,p,status
Oceania_Historic,deep5,WHG;EHG;CHG;Anatolia_N;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian,475933,4352.173682888981,3,1.9318e-319,rejected
Oceania_Historic,hg3,WHG;EHG;CHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475933,5143.878831713155,6,0.0,rejected
Americas_Late_Glacial,west3,Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N;CHG;EHG,475936,6130.956178330358,8,0.0,rejected
Americas_Late_Glacial,west4,Anatolia_N;Steppe_Yamnaya;WHG;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;CHG;EHG,475936,5607.486447257335,6,0.0,rejected
Americas_Late_Glacial,deep4,WHG;EHG;CHG;Anatolia_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475936,4186.19118642375,5,0.0,rejected
Americas_Late_Glacial,deep5,WHG;EHG;CHG;Anatolia_N;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian,475936,3985.9285682999316,3,8.097149647280673e-300,rejected
Americas_Late_Glacial,hg3,WHG;EHG;CHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475936,4186.191186423766,6,0.0,rejected
Americas_Early_Holocene,west3,Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N;CHG;EHG,475937,6839.294558405882,8,0.0,rejected
Americas_Early_Holocene,west4,Anatolia_N;Steppe_Yamnaya;WHG;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;CHG;EHG,475937,6422.74863525675,6,0.0,rejected
Americas_Early_Holocene,deep4,WHG;EHG;CHG;Anatolia_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475937,3872.638017890852,5,0.0,rejected
Americas_Early_Holocene,deep5,WHG;EHG;CHG;Anatolia_N;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian,475937,3709.6345272283293,3,1.1889082068467621e-284,rejected
Americas_Early_Holocene,hg3,WHG;EHG;CHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475937,3872.638017890852,6,0.0,rejected
Americas_Neolithic,west3,Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N;CHG;EHG,475937,7449.118813867972,8,0.0,rejected
Americas_Neolithic,west4,Anatolia_N;Steppe_Yamnaya;WHG;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;CHG;EHG,475937,7093.250110046873,6,0.0,rejected
Americas_Neolithic,deep4,WHG;EHG;CHG;Anatolia_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475937,4277.28733295455,5,0.0,rejected
Americas_Neolithic,deep5,WHG;EHG;CHG;Anatolia_N;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian,475937,3946.3383950782745,3,1.1522695230105045e-297,rejected
Americas_Neolithic,hg3,WHG;EHG;CHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475937,4277.28733295455,6,0.0,rejected
Americas_Bronze_Age,west3,Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N;CHG;EHG,475853,7715.460234857114,8,0.0,rejected
Americas_Bronze_Age,west4,Anatolia_N;Steppe_Yamnaya;WHG;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;CHG;EHG,475853,7594.602444140568,6,0.0,rejected
Americas_Bronze_Age,deep4,WHG;EHG;CHG;Anatolia_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475853,4318.5778272417965,5,0.0,rejected
Americas_Bronze_Age,deep5,WHG;EHG;CHG;Anatolia_N;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian,475853,4197.758444182877,3,3.1291793445845e-311,rejected
Americas_Bronze_Age,hg3,WHG;EHG;CHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475853,4318.5778272417965,6,0.0,rejected
Americas_Iron_Age,west3,Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N;CHG;EHG,475937,7025.788338465232,8,0.0,rejected
Americas_Iron_Age,west4,Anatolia_N;Steppe_Yamnaya;WHG;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;CHG;EHG,475937,6609.57971024751,6,0.0,rejected
Americas_Iron_Age,deep4,WHG;EHG;CHG;Anatolia_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475937,4269.905676065437,5,0.0,rejected
Americas_Iron_Age,deep5,WHG;EHG;CHG;Anatolia_N;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian,475937,4064.836176671886,3,4.3246996218501845e-304,rejected
Americas_Iron_Age,hg3,WHG;EHG;CHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475937,4269.905676065437,6,0.0,rejected
Americas_Historic,west3,Anatolia_N;Steppe_Yamnaya;WHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N;CHG;EHG,475932,7071.543563037949,8,0.0,rejected
Americas_Historic,west4,Anatolia_N;Steppe_Yamnaya;WHG;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;CHG;EHG,475932,6150.78811161014,6,0.0,rejected
Americas_Historic,deep4,WHG;EHG;CHG;Anatolia_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475932,4298.0865831900355,5,0.0,rejected
Americas_Historic,deep5,WHG;EHG;CHG;Anatolia_N;Iran_N,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian,475932,3923.365427490721,3,2.0606493942899974e-296,rejected
Americas_Historic,hg3,WHG;EHG;CHG,Mbuti;Han;Papuan;Karitiana;Ust_Ishim;Kostenki14;MA1;Natufian;Iran_N,475932,4298.0865831900355,6,0.0,rejected
