genetic_id,group_id,country,lat,lon,date_bp,data_type,alpha_Nea,alpha_adj,alpha_SE,alpha_nSNP,high_conf,expected_Nea,residual_Nea,z_resid,sigma_bio_local,se_expected,n_neighbors_eff,D_Nea_Z,D_Den_Z,flags
I1851.AG,Russia_KrasnoyarskKrai_MLBA_Andronovo,Russia,54.17931667,91.57886667,3463.0,AG,0.033145,0.03434536475678768,0.007005,176352,False,0.02119021694493232,0.013155147811855356,1.8727438294651062,0.0,0.000523465587890337,76.21898156655709,3.323,-1.082,
I1852.AG,Russia_KrasnoyarskKrai_MLBA_Andronovo,Russia,54.17931667,91.57886667,3512.0,AG,0.023659,0.024859364756787673,0.007729,146108,False,0.022429426880371688,0.002429937876415985,0.31336507046585105,0.0,0.0006263204896854624,77.45667111375238,4.195,1.203,
I1853.AG,Russia_KrasnoyarskKrai_MLBA,Russia,53.873133,91.460467,3484.0,AG,0.02619,0.027390364756787675,0.012204,53328,False,0.021746430454104338,0.0056439343026833365,0.4618515016346651,0.0,0.0006297218070155367,76.9485614050505,1.518,-0.497,low_power;questionable
I1856.AG,Russia_KrasnoyarskKrai_MLBA,Russia,53.873133,91.460467,3540.0,AG,0.027077,0.028277364756787673,0.006596,309709,True,0.021361047211119637,0.006916317545668037,1.045637116715935,0.0,0.0004937329872340164,75.13512029328466,3.49,-0.832,
I1887.AG,Hungary_MN_Vinca,Hungary,45.5853,18.30771,7150.0,AG,0.01871,0.019910364756787674,0.00704,168896,False,0.020082988365257366,-0.00017262360846969152,-0.024424295765825967,0.0,0.0006251327690438272,77.70330225651351,1.632,-1.085,
I1889.AG,Hungary_MN_Vinca,Hungary,46.0526762,18.2659314,6943.0,AG,0.019948,0.021148364756787674,0.006819,175620,False,0.020209268683143353,0.0009390960736443202,0.13706092514114548,0.0,0.0006682853135220202,78.28233408077723,2.942,0.303,
I1890.AG,Hungary_LN_Sopot,Hungary,46.41594,18.91974,6875.0,AG,0.022958,0.024158364756787672,0.014484,45397,False,0.020198047428605204,0.003960317328182469,0.2731893914341111,0.0,0.0006042807040709412,76.33060649625958,1.099,-1.002,low_power
I1891.AG,Hungary_LN_Sopot,Hungary,46.41594,18.91974,6913.0,AG,0.019205,0.020405364756787673,0.00721,184346,False,0.019484259041037216,0.0009211057157504574,0.127346375606705,0.0,0.000577282119227369,77.59953313862492,3.405,0.291,
I1892.AG,Hungary_Avar-2,Hungary,47.48641,18.66366,1404.0,AG,0.01337,0.014570364756787673,0.005955,262575,True,0.020989398748226126,-0.006419033991438453,-1.0737442086460585,0.0,0.0005259154307142146,75.5061659967903,1.42,-0.62,
I1896.AG,Hungary_MN_Vinca,Hungary,46.0526762,18.2659314,7190.0,AG,0.016849,0.018049364756787672,0.008742,109569,False,0.02086592215474958,-0.0028165573979619073,-0.32158642543510524,0.0,0.0005344498251589042,76.70087866885386,2.598,-1.107,
