genetic_id,alpha_Nea,alpha_SE,alpha_nSNP,D_Nea,D_Nea_SE,D_Nea_Z,D_Nea_nSNP,D_Den,D_Den_SE,D_Den_Z,D_Den_nSNP
I1889.AG,0.019948,0.006819,175620,0.017043,0.005792,2.942,380678,0.002719,0.008962,0.303,200551
I1890.AG,0.022958,0.014484,45397,0.013052,0.011874,1.099,98746,-0.013512,0.01349,-1.002,52020
I1891.AG,0.019205,0.00721,184346,0.01837,0.005395,3.405,403237,0.002205,0.007585,0.291,216120
I1892.AG,0.01337,0.005955,262575,0.007991,0.005626,1.42,573254,-0.004242,0.006843,-0.62,306616
I1896.AG,0.016849,0.008742,109569,0.018191,0.007002,2.598,238608,-0.011138,0.010061,-1.107,127428
I1899.AG,0.023923,0.008185,142973,0.017956,0.006459,2.78,311821,0.015043,0.007492,2.008,168883
I1900.AG,-0.007211,0.016977,27336,0.016599,0.011595,1.432,59379,0.012821,0.015391,0.833,31780
I1901.AG,0.022272,0.006395,218884,0.009759,0.005639,1.731,472295,-0.005063,0.006864,-0.738,251382
I1903.AG,0.012102,0.006319,258570,0.007661,0.005056,1.515,564875,0.002038,0.007541,0.27,301884
I1906.AG,0.015009,0.006703,199587,0.011289,0.005363,2.105,433538,0.001396,0.007776,0.179,229502
I1908.AG,0.019002,0.005653,243412,0.015498,0.004763,3.254,529975,-0.007288,0.006882,-1.059,284631
I1909.AG,0.017356,0.005974,220792,0.013257,0.005157,2.571,477994,-0.009987,0.006099,-1.637,256657
I1934.AG,0.029881,0.021517,14486,0.003767,0.018305,0.206,31430,0.001153,0.024554,0.047,16899
I1955.AG,0.017067,0.005607,345855,0.011978,0.005062,2.366,759213,-0.003728,0.007088,-0.526,414702
I1958.AG,-0.001351,0.022572,14369,-0.014557,0.017733,-0.821,31516,-0.047596,0.024977,-1.906,17206
I1959.AG,0.021162,0.005475,363758,0.018221,0.004266,4.272,798078,0.00254,0.006051,0.42,437204
I1960.AG,0.026636,0.005613,355467,0.021233,0.004562,4.655,780169,0.002137,0.005961,0.358,427343
I1965.AG,0.025641,0.005408,362576,0.025376,0.004875,5.206,793831,0.00303,0.005191,0.584,433456
I1972.AG,0.028513,0.006882,162555,0.024568,0.005775,4.254,358147,0.000135,0.00817,0.016,194571
I1975.AG,0.019512,0.01231,47661,0.012758,0.009309,1.371,103618,0.003942,0.012332,0.32,55988
